timeStamp,Price,Open,High,Low,Vol.,Change %
16-Jun-16,"6,435.77","6,501.37","6,503.06","6,431.78",15.00M,-1.00%
15-Jun-16,"6,500.64","6,519.75","6,524.11","6,499.77",17.67M,-0.27%
14-Jun-16,"6,518.08","6,538.35","6,541.21","6,518.08",18.21M,-0.31%
13-Jun-16,"6,538.25","6,532.52","6,546.95","6,530.50",30.94M,0.12%
10-Jun-16,"6,530.50","6,529.49","6,540.97","6,525.26",17.58M,0.04%
9-Jun-16,"6,528.03","6,528.53","6,549.11","6,524.58",11.13M,0.03%
8-Jun-16,"6,526.12","6,522.72","6,538.25","6,522.59",15.05M,0.03%
7-Jun-16,"6,524.00","6,517.39","6,538.19","6,515.37",72.88M,0.08%
6-Jun-16,"6,518.98","6,525.52","6,549.47","6,518.98",33.16M,0.00%
3-Jun-16,"6,519.23","6,523.23","6,531.98","6,513.39",39.60M,-0.07%
2-Jun-16,"6,523.84","6,543.79","6,545.80","6,523.84",27.37M,-0.29%
1-Jun-16,"6,542.75","6,553.29","6,563.27","6,542.75",18.61M,-0.12%
31-May-16,"6,550.51","6,551.62","6,558.66","6,543.37",16.22M,-0.04%
30-May-16,"6,552.85","6,571.92","6,582.18","6,552.68",10.13M,-0.28%
27-May-16,"6,571.21","6,567.98","6,581.27","6,552.00",15.26M,0.04%
26-May-16,"6,568.76","6,582.97","6,593.82","6,564.09",17.58M,-0.22%
25-May-16,"6,583.49","6,572.08","6,593.13","6,570.58",18.26M,0.20%
24-May-16,"6,570.58","6,633.29","6,637.62","6,553.69",22.63M,-0.95%
20-May-16,"6,633.27","6,649.72","6,655.43","6,622.52",25.67M,-0.22%
19-May-16,"6,648.13","6,680.12","6,686.18","6,648.13",48.15M,-0.48%
18-May-16,"6,680.15","6,673.64","6,688.38","6,662.14",24.59M,0.14%
17-May-16,"6,670.79","6,708.04","6,718.86","6,669.87",32.17M,-0.56%
16-May-16,"6,708.40","6,680.89","6,711.39","6,679.84",19.15M,0.43%
13-May-16,"6,679.84","6,657.17","6,696.53","6,656.12",27.07M,0.36%
12-May-16,"6,656.12","6,661.79","6,670.69","6,633.65",22.23M,-0.08%
11-May-16,"6,661.45","6,638.85","6,669.33","6,637.74",28.35M,0.36%
10-May-16,"6,637.74","6,594.67","6,647.84","6,593.69",24.08M,0.65%
9-May-16,"6,594.80","6,595.30","6,605.90","6,592.40",60.20M,0.04%
6-May-16,"6,592.45","6,581.43","6,599.18","6,578.34",27.53M,0.21%
5-May-16,"6,578.34","6,568.73","6,587.27","6,552.39",34.63M,0.14%
4-May-16,"6,568.85","6,585.40","6,608.55","6,556.71",36.36M,-0.22%
3-May-16,"6,583.10","6,520.22","6,583.10","6,516.26",23.91M,1.03%
29-Apr-16,"6,516.26","6,444.64","6,527.25","6,442.53",40.19M,1.14%
28-Apr-16,"6,442.53","6,436.52","6,443.39","6,429.71",16.05M,0.13%
27-Apr-16,"6,434.24","6,405.19","6,442.04","6,404.71",15.47M,0.45%
26-Apr-16,"6,405.29","6,380.89","6,413.64","6,370.41",19.67M,0.40%
25-Apr-16,"6,379.53","6,419.51","6,422.91","6,375.49",18.51M,-0.67%
22-Apr-16,"6,422.65","6,423.17","6,433.81","6,420.03",35.45M,-0.01%
20-Apr-16,"6,423.13","6,388.55","6,424.59","6,387.85",36.26M,0.55%
19-Apr-16,"6,387.85","6,382.44","6,396.18","6,380.84",44.17M,0.09%
18-Apr-16,"6,382.31","6,410.18","6,410.18","6,369.78",58.32M,-0.30%
15-Apr-16,"6,401.32","6,354.41","6,409.83","6,353.20",44.07M,0.76%
12-Apr-16,"6,353.20","6,274.70","6,364.13","6,273.78",41.04M,1.24%
11-Apr-16,"6,275.62","6,274.59","6,283.62","6,259.27",17.68M,0.00%
8-Apr-16,"6,275.62","6,234.17","6,281.49","6,230.19",36.70M,0.73%
7-Apr-16,"6,230.19","6,167.48","6,236.32","6,165.11",32.61M,1.06%
6-Apr-16,"6,165.11","6,160.82","6,167.75","6,153.22",18.18M,0.10%
5-Apr-16,"6,159.02","6,079.91","6,166.12","6,079.15",25.96M,1.31%
4-Apr-16,"6,079.15","6,086.42","6,091.35","6,078.55",23.53M,-0.06%
1-Apr-16,"6,083.01","6,065.04","6,103.39","6,059.46",74.69M,0.06%
31-Mar-16,"6,079.15","6,086.42","6,091.35","6,078.55",23.53M,0.63%
30-Mar-16,"6,040.99","6,033.64","6,056.72","6,029.53",35.83M,0.15%
29-Mar-16,"6,031.85","6,063.43","6,064.71","6,021.90",8.43M,-0.50%
28-Mar-16,"6,062.05","6,095.74","6,102.79","6,051.44",17.15M,-0.50%
24-Mar-16,"6,092.45","6,073.77","6,099.70","6,073.50",9.74M,0.31%
23-Mar-16,"6,073.50","6,091.07","6,107.14","6,045.94",17.28M,-0.25%
21-Mar-16,"6,088.57","6,060.45","6,103.42","6,057.12",14.45M,0.51%
18-Mar-16,"6,057.79","6,069.81","6,069.81","6,036.11",45.37M,-0.17%
17-Mar-16,"6,068.17","6,019.81","6,074.28","6,019.28",24.20M,0.78%
16-Mar-16,"6,021.37","5,970.48","6,039.38","5,970.36",24.86M,0.85%
15-Mar-16,"5,970.40","5,979.31","5,984.42","5,967.34",14.65M,-0.15%
14-Mar-16,"5,979.43","6,020.39","6,029.24","5,975.16",21.65M,-0.67%
11-Mar-16,"6,019.95","5,952.36","6,028.24","5,948.23",24.88M,1.21%
10-Mar-16,"5,948.23","5,862.51","5,956.47","5,858.04",336.02M,1.46%
9-Mar-16,"5,862.35","5,933.22","5,934.72","5,802.02",67.16M,-1.22%
8-Mar-16,"5,934.72","6,058.52","6,058.52","5,932.54",31.50M,-2.02%
4-Mar-16,"6,057.22","6,053.71","6,065.35","6,050.42",10.56M,-0.06%
3-Mar-16,"6,060.91","6,078.13","6,083.39","6,049.91",20.10M,-0.29%
2-Mar-16,"6,078.41","6,113.35","6,115.17","6,075.59",60.39M,-0.57%
1-Mar-16,"6,113.40","6,190.07","6,197.73","6,113.40",29.15M,-1.27%
29-Feb-16,"6,191.81","6,205.34","6,215.14","6,191.81",22.72M,-0.20%
26-Feb-16,"6,203.98","6,203.65","6,209.13","6,200.21",17.83M,0.02%
25-Feb-16,"6,202.64","6,217.29","6,229.83","6,201.42",27.99M,-0.24%
24-Feb-16,"6,217.64","6,227.87","6,230.98","6,208.20",35.17M,-0.18%
23-Feb-16,"6,228.99","6,253.88","6,259.29","6,228.32",51.27M,-0.35%
19-Feb-16,"6,250.78","6,209.99","6,250.78","6,208.89",62.09M,0.67%
18-Feb-16,"6,208.89","6,226.84","6,239.98","6,205.71",14.74M,-0.19%
17-Feb-16,"6,220.82","6,254.15","6,258.85","6,220.82",15.35M,-0.53%
16-Feb-16,"6,254.16","6,270.15","6,282.35","6,252.62",10.71M,-0.19%
